Date,open,high,low,close,Volume,Volume MA,RSI,
01/01/2001,65.5,65.5,65.5,65.5,NaN,NaN,NaN,01/01/1970
01/02/2001,66.3,66.3,66.3,66.3,NaN,NaN,NaN,01/01/1970
01/03/2001,66.2,66.2,66.2,66.2,NaN,NaN,NaN,01/01/1970
01/04/2001,66.6,66.6,66.6,66.6,NaN,NaN,NaN,01/01/1970
01/05/2001,66.8,66.8,66.8,66.8,NaN,NaN,NaN,01/01/1970
01/06/2001,68.8,68.8,68.8,68.8,NaN,NaN,NaN,01/01/1970
01/07/2001,69.6,69.6,69.6,69.6,NaN,NaN,NaN,01/01/1970
01/08/2001,68,68,68,68,NaN,NaN,NaN,01/01/1970
01/09/2001,66.9,66.9,66.9,66.9,NaN,NaN,NaN,01/01/1970
01/10/2001,66.6,66.6,66.6,66.6,NaN,NaN,NaN,01/01/1970
01/11/2001,66.6,66.6,66.6,66.6,NaN,NaN,NaN,01/01/1970
01/12/2001,66.8,66.8,66.8,66.8,NaN,NaN,NaN,01/01/1970
01/01/2002,65.6,65.6,65.6,65.6,NaN,NaN,NaN,01/01/1970
01/02/2002,66.1,66.1,66.1,66.1,NaN,NaN,NaN,01/01/1970
01/03/2002,66.5,66.5,66.5,66.5,NaN,NaN,55.20833333,01/01/1970
01/04/2002,65.9,65.9,65.9,65.9,NaN,NaN,51.72672673,01/01/1970
01/05/2002,66.5,66.5,66.5,66.5,NaN,NaN,54.79666883,01/01/1970
01/06/2002,69.1,69.1,69.1,69.1,NaN,NaN,65.14178482,01/01/1970
01/07/2002,69,69,69,69,NaN,NaN,64.5300848,01/01/1970
01/08/2002,67.8,67.8,67.8,67.8,NaN,NaN,57.54671116,01/01/1970
01/09/2002,66.8,66.8,66.8,66.8,NaN,NaN,52.45254565,01/01/1970
01/10/2002,66.4,66.4,66.4,66.4,NaN,NaN,50.5258597,01/01/1970
01/11/2002,66.4,66.4,66.4,66.4,NaN,NaN,50.5258597,01/01/1970
01/12/2002,66.3,66.3,66.3,66.3,NaN,NaN,49.99342467,01/01/1970
01/01/2003,65,65,65,65,NaN,NaN,43.56610784,01/01/1970
01/02/2003,65.5,65.5,65.5,65.5,NaN,NaN,46.41933442,01/01/1970
01/03/2003,66,66,66,66,NaN,NaN,49.18604625,01/01/1970
01/04/2003,65.8,65.8,65.8,65.8,NaN,NaN,48.11578916,01/01/1970
01/05/2003,66.3,66.3,66.3,66.3,NaN,NaN,50.98710674,01/01/1970
01/06/2003,68.2,68.2,68.2,68.2,NaN,NaN,60.03749138,01/01/1970
01/07/2003,68.8,68.8,68.8,68.8,NaN,NaN,62.39873852,01/01/1970
01/08/2003,66.8,66.8,66.8,66.8,NaN,NaN,51.47962242,01/01/1970
01/09/2003,66.3,66.3,66.3,66.3,NaN,NaN,49.16341011,01/01/1970
01/10/2003,65.8,65.8,65.8,65.8,NaN,NaN,46.89134694,01/01/1970
01/11/2003,65.3,65.3,65.3,65.3,NaN,NaN,44.66823232,01/01/1970
01/12/2003,65.5,65.5,65.5,65.5,NaN,NaN,45.77564181,01/01/1970
01/01/2004,64.6,64.6,64.6,64.6,NaN,NaN,41.7283705,01/01/1970
01/02/2004,64.4,64.4,64.4,64.4,NaN,NaN,40.86372516,01/01/1970
01/03/2004,65.1,65.1,65.1,65.1,NaN,NaN,45.14776619,01/01/1970
01/04/2004,65.4,65.4,65.4,65.4,NaN,NaN,46.92243987,01/01/1970
01/05/2004,65.4,65.4,65.4,65.4,NaN,NaN,46.92243987,01/01/1970
01/06/2004,66.7,66.7,66.7,66.7,NaN,NaN,54.34573913,01/01/1970
01/07/2004,68.5,68.5,68.5,68.5,NaN,NaN,62.22378185,01/01/1970
01/08/2004,66.4,66.4,66.4,66.4,NaN,NaN,51.13703708,01/01/1970
01/09/2004,65.3,65.3,65.3,65.3,NaN,NaN,46.46670661,01/01/1970
01/10/2004,65.3,65.3,65.3,65.3,NaN,NaN,46.46670661,01/01/1970
01/11/2004,64.8,64.8,64.8,64.8,NaN,NaN,44.33229135,01/01/1970
01/12/2004,64.9,64.9,64.9,64.9,NaN,NaN,44.87764655,01/01/1970
01/01/2005,64.5,64.5,64.5,64.5,NaN,NaN,43.06046026,01/01/1970
01/02/2005,63.9,63.9,63.9,63.9,NaN,NaN,40.41679084,01/01/1970
01/03/2005,64.3,64.3,64.3,64.3,NaN,NaN,42.93222439,01/01/1970
01/04/2005,64.5,64.5,64.5,64.5,NaN,NaN,44.20067223,01/01/1970
01/05/2005,64.9,64.9,64.9,64.9,NaN,NaN,46.74994556,01/01/1970
01/06/2005,66.8,66.8,66.8,66.8,NaN,NaN,56.83724449,01/01/1970
01/07/2005,67.6,67.6,67.6,67.6,NaN,NaN,60.25150455,01/01/1970
01/08/2005,66.5,66.5,66.5,66.5,NaN,NaN,53.93410567,01/01/1970
01/09/2005,65,65,65,65,NaN,NaN,46.73762303,01/01/1970
01/10/2005,64.7,64.7,64.7,64.7,NaN,NaN,45.4319546,01/01/1970
01/11/2005,65.5,65.5,65.5,65.5,NaN,NaN,49.48464221,01/01/1970
01/12/2005,65,65,65,65,NaN,NaN,47.12875033,01/01/1970
01/01/2006,64,64,64,64,NaN,NaN,42.74555742,01/01/1970
01/02/2006,64.4,64.4,64.4,64.4,NaN,NaN,44.95101472,01/01/1970
01/03/2006,64.5,64.5,64.5,64.5,NaN,NaN,45.51605924,01/01/1970
01/04/2006,64.6,64.6,64.6,64.6,NaN,NaN,46.11173813,01/01/1970
01/05/2006,64.9,64.9,64.9,64.9,NaN,NaN,47.95025754,01/01/1970
01/06/2006,67.5,67.5,67.5,67.5,NaN,NaN,60.52135203,01/01/1970
01/07/2006,69,69,69,69,NaN,NaN,65.67245102,01/01/1970
01/08/2006,67.1,67.1,67.1,67.1,NaN,NaN,55.74979522,01/01/1970
01/09/2006,65.8,65.8,65.8,65.8,NaN,NaN,50.16485305,01/01/1970
01/10/2006,66.3,66.3,66.3,66.3,NaN,NaN,52.15033367,01/01/1970
01/11/2006,65.9,65.9,65.9,65.9,NaN,NaN,50.4197012,01/01/1970
01/12/2006,65.5,65.5,65.5,65.5,NaN,NaN,48.67996772,01/01/1970
01/01/2007,65.6,65.6,65.6,65.6,NaN,NaN,49.15233323,01/01/1970
01/02/2007,65.5,65.5,65.5,65.5,NaN,NaN,48.6699009,01/01/1970
01/03/2007,65.2,65.2,65.2,65.2,NaN,NaN,47.17400642,01/01/1970
01/04/2007,66.1,66.1,66.1,66.1,NaN,NaN,51.94576142,01/01/1970
01/05/2007,66.8,66.8,66.8,66.8,NaN,NaN,55.32584199,01/01/1970
01/06/2007,67.6,67.6,67.6,67.6,NaN,NaN,58.88518863,01/01/1970
01/07/2007,69.9,69.9,69.9,69.9,NaN,NaN,67.0205951,01/01/1970
01/08/2007,68.4,68.4,68.4,68.4,NaN,NaN,58.84302871,01/01/1970
01/09/2007,66.3,66.3,66.3,66.3,NaN,NaN,49.70009204,01/01/1970
01/10/2007,66.8,66.8,66.8,66.8,NaN,NaN,51.62729076,01/01/1970
01/11/2007,67,67,67,67,NaN,NaN,52.41269829,01/01/1970
01/12/2007,66.1,66.1,66.1,66.1,NaN,NaN,48.58943917,01/01/1970
01/01/2008,65.7,65.7,65.7,65.7,NaN,NaN,46.95022004,01/01/1970
01/02/2008,66.2,66.2,66.2,66.2,NaN,NaN,49.25476452,01/01/1970
01/03/2008,66,66,66,66,NaN,NaN,48.34998548,01/01/1970
01/04/2008,66.7,66.7,66.7,66.7,NaN,NaN,51.69457568,01/01/1970
01/05/2008,66.9,66.9,66.9,66.9,NaN,NaN,52.63823873,01/01/1970
01/06/2008,68.2,68.2,68.2,68.2,NaN,NaN,58.33572071,01/01/1970
01/07/2008,69.7,69.7,69.7,69.7,NaN,NaN,63.75385245,01/01/1970
01/08/2008,68,68,68,68,NaN,NaN,55.02099324,01/01/1970
01/09/2008,66.3,66.3,66.3,66.3,NaN,NaN,47.94797215,01/01/1970
01/10/2008,66.5,66.5,66.5,66.5,NaN,NaN,48.7821594,01/01/1970
01/11/2008,66,66,66,66,NaN,NaN,46.76441526,01/01/1970
01/12/2008,65.4,65.4,65.4,65.4,NaN,NaN,44.39155915,01/01/1970
01/01/2009,64.7,64.7,64.7,64.7,NaN,NaN,41.7311541,01/01/1970
01/02/2009,64.4,64.4,64.4,64.4,NaN,NaN,40.60793075,01/01/1970
01/03/2009,64.3,64.3,64.3,64.3,NaN,NaN,40.21932969,01/01/1970
01/04/2009,64.3,64.3,64.3,64.3,NaN,NaN,40.21932969,01/01/1970
01/05/2009,64.6,64.6,64.6,64.6,NaN,NaN,42.14561248,01/01/1970
01/06/2009,66.3,66.3,66.3,66.3,NaN,NaN,51.65263321,01/01/1970
01/07/2009,66.8,66.8,66.8,66.8,NaN,NaN,54.04457546,01/01/1970
01/08/2009,65.2,65.2,65.2,65.2,NaN,NaN,46.17239675,01/01/1970
01/09/2009,64.2,64.2,64.2,64.2,NaN,NaN,42.0497947,01/01/1970
01/10/2009,63.8,63.8,63.8,63.8,NaN,NaN,40.49237066,01/01/1970
01/11/2009,64,64,64,64,NaN,NaN,41.65594541,01/01/1970
01/12/2009,63.7,63.7,63.7,63.7,NaN,NaN,40.38047893,01/01/1970
01/01/2010,62.6,62.6,62.6,62.6,NaN,NaN,36.02485471,01/01/1970
01/02/2010,63.1,63.1,63.1,63.1,NaN,NaN,39.23338389,01/01/1970
01/03/2010,63.3,63.3,63.3,63.3,NaN,NaN,40.51843898,01/01/1970
01/04/2010,63.6,63.6,63.6,63.6,NaN,NaN,42.48327707,01/01/1970
01/05/2010,63.8,63.8,63.8,63.8,NaN,NaN,43.81573211,01/01/1970
01/06/2010,66.1,66.1,66.1,66.1,NaN,NaN,56.34162108,01/01/1970
01/07/2010,67.3,67.3,67.3,67.3,NaN,NaN,61.20171293,01/01/1970
01/08/2010,65.3,65.3,65.3,65.3,NaN,NaN,51.00963922,01/01/1970
01/09/2010,64.6,64.6,64.6,64.6,NaN,NaN,47.99687811,01/01/1970
01/10/2010,64.5,64.5,64.5,64.5,NaN,NaN,47.5646792,01/01/1970
01/11/2010,64.4,64.4,64.4,64.4,NaN,NaN,47.10785544,01/01/1970
01/12/2010,64.3,64.3,64.3,64.3,NaN,NaN,46.62560429,01/01/1970
01/01/2011,64.1,64.1,64.1,64.1,NaN,NaN,45.6197218,01/01/1970
01/02/2011,64.3,64.3,64.3,64.3,NaN,NaN,46.85445833,01/01/1970
01/03/2011,64.3,64.3,64.3,64.3,NaN,NaN,46.85445833,01/01/1970
01/04/2011,65,65,65,65,NaN,NaN,51.33931437,01/01/1970
01/05/2011,65,65,65,65,NaN,NaN,51.33931437,01/01/1970
01/06/2011,66.9,66.9,66.9,66.9,NaN,NaN,61.55275042,01/01/1970
01/07/2011,67.9,67.9,67.9,67.9,NaN,NaN,65.64039305,01/01/1970
01/08/2011,66.6,66.6,66.6,66.6,NaN,NaN,57.13596271,01/01/1970
01/09/2011,65.3,65.3,65.3,65.3,NaN,NaN,50.14006246,01/01/1970
01/10/2011,65.3,65.3,65.3,65.3,NaN,NaN,50.14006246,01/01/1970
01/11/2011,65.1,65.1,65.1,65.1,NaN,NaN,49.06807648,01/01/1970
01/12/2011,64.9,64.9,64.9,64.9,NaN,NaN,47.96373867,01/01/1970
01/01/2012,63.7,63.7,63.7,63.7,NaN,NaN,41.87418807,01/01/1970
01/02/2012,64.2,64.2,64.2,64.2,NaN,NaN,45.00712793,01/01/1970
01/03/2012,65.1,65.1,65.1,65.1,NaN,NaN,50.2093405,01/01/1970
01/04/2012,64.8,64.8,64.8,64.8,NaN,NaN,48.56031777,01/01/1970
01/05/2012,64.9,64.9,64.9,64.9,NaN,NaN,49.15971336,01/01/1970
01/06/2012,67.3,67.3,67.3,67.3,NaN,NaN,60.92724188,01/01/1970
01/07/2012,68,68,68,68,NaN,NaN,63.5753979,01/01/1970
01/08/2012,66.3,66.3,66.3,66.3,NaN,NaN,54.00295868,01/01/1970
01/09/2012,65.5,65.5,65.5,65.5,NaN,NaN,50.17434955,01/01/1970
01/10/2012,65.3,65.3,65.3,65.3,NaN,NaN,49.23458629,01/01/1970
01/11/2012,64.9,64.9,64.9,64.9,NaN,NaN,47.32541109,01/01/1970
01/12/2012,65.1,65.1,65.1,65.1,NaN,NaN,48.40276067,01/01/1970
01/01/2013,64.1,64.1,64.1,64.1,NaN,NaN,43.60093907,01/01/1970
01/02/2013,64.4,64.4,64.4,64.4,NaN,NaN,45.35244871,01/01/1970
01/03/2013,65,65,65,65,NaN,NaN,48.77860183,01/01/1970
01/04/2013,65,65,65,65,NaN,NaN,48.77860183,01/01/1970
01/05/2013,65.3,65.3,65.3,65.3,NaN,NaN,50.57547704,01/01/1970
01/06/2013,67.3,67.3,67.3,67.3,NaN,NaN,60.51914225,01/01/1970
01/07/2013,68.5,68.5,68.5,68.5,NaN,NaN,65.06115626,01/01/1970
